	id	ext_timestamp	zenith	azimuth
1025	1025	1451644086367091359	0.18949336	1.2762986
1026	1026	1451644086927486291	0.80965674	0.7007681
1031	1031	1451644301069399640	0.4436793	0.21783897
1055	1055	1451645188386262028	0.63070285	-0.6730339
1056	1056	1451645213715655731	0.38520348	2.4814305
1076	1076	1451645957317924360	0.433901	-1.4759324
1077	1077	1451645961470334007	0.2608087	-0.5486668
1086	1086	1451646502289306526	0.50549483	-0.6798177
1091	1091	1451646727846257974	0.4645925	2.4238696
1098	1098	1451647155602517130	0.26533788	2.167143
1103	1103	1451647409243219883	0.33903736	-1.145524
1112	1112	1451647746955946306	0.39535666	-1.836936
1114	1114	1451647830517895929	0.08235602	1.5839399
1120	1120	1451648180718702211	0.58801174	0.8061934
1121	1121	1451648186414209433	0.18957852	-2.2790833
1129	1129	1451648370777708534	0.6153146	0.6727057
1131	1131	1451648419039950637	0.29746065	-0.79626155
1143	1143	1451649051965176228	0.104538366	-0.08215539
1144	1144	1451649058246226073	0.6163178	-2.8675933
1151	1151	1451649312340886277	0.45445442	-0.8877991
1154	1154	1451649374471512723	0.29155636	1.4161389
1168	1168	1451650122626456791	0.18711354	-0.5536047
1172	1172	1451650308908200924	0.26498213	2.9880445
1174	1174	1451650358460247041	0.42160922	2.9803264
1178	1178	1451650591800384263	0.18420453	-2.3995984
1180	1180	1451650605409757030	0.4754969	1.5980312
1182	1182	1451650705423700505	0.32635695	-1.9932811
1189	1189	1451650937713006380	0.47281402	3.1068306
1202	1202	1451651283545300806	0.24389833	3.0968666
1206	1206	1451651324456401168	0.8299294	1.6876755
1208	1208	1451651433687509354	0.5032798	-0.33596227
1209	1209	1451651510783119104	0.07925535	2.966075
1215	1215	1451651865903445452	0.524719	0.17830801
1225	1225	1451652392713800633	0.45083997	-1.9134086
1232	1232	1451652809580345328	0.08102907	-2.9177585
1239	1239	1451653123119230446	0.41167846	-1.7680212
1249	1249	1451653579623649052	0.4559875	2.9548802
1270	1270	1451654252731508488	0.8662909	-0.9141495
1274	1274	1451654366919801573	0.18906765	1.9779264
1290	1290	1451654926904830994	0.103333876	2.7562685
1299	1299	1451655268111650168	0.27220502	-2.0881152
1300	1300	1451655315548932659	0.41587543	1.5075994
1301	1301	1451655318237513987	0.08309812	-2.2530699
1304	1304	1451655488687787558	0.3828208	-1.4223595
1307	1307	1451655554586422270	0.19885473	-1.571995
1325	1325	1451656003036987768	0.32305935	-2.7250488
1347	1347	1451657439169821661	0.70108145	-2.570316
1349	1349	1451657475072990363	0.15304443	1.1295713
1352	1352	1451657572159460448	0.48111856	-0.8875177
1355	1355	1451657634675809216	0.30272084	0.071237676
1356	1356	1451657682647815669	0.31838623	1.1969587
1365	1365	1451657963571734633	0.42839026	-1.3584585
1366	1366	1451657979042109638	0.48742193	-2.160531
1371	1371	1451658117031332568	0.163837	-1.7459859
1372	1372	1451658180786495338	0.07902405	1.5306816
1374	1374	1451658212175347753	0.26797637	-0.6065707
1381	1381	1451658583589890381	0.21629572	1.54336
1383	1383	1451658901979379389	0.26633123	-1.1348639
1384	1384	1451658935020164902	0.47600356	-1.9268756
1396	1396	1451659723125056642	0.5218189	1.177402
1399	1399	1451659868479437219	0.25210756	2.0732617
1407	1407	1451660212996903860	0.15181102	-2.9220033
1422	1422	1451661078342905595	0.61942166	1.5490544
1423	1423	1451661153110966534	0.4398322	1.3999795
1430	1430	1451661323317756818	0.1537953	0.8883049
1431	1431	1451661336982171066	0.47596526	-2.6245034
1446	1446	1451661850363086349	0.5490123	-1.5673807
1448	1448	1451661903401035987	0.39939392	-2.3179777
1453	1453	1451662023386286192	0.7733926	2.9743655
1459	1459	1451662311761725419	0.31051055	3.1241982
1460	1460	1451662428039195086	0.102217466	1.9257419
1461	1461	1451662457310144960	0.44614148	-1.7305121
1490	1490	1451663407285384933	0.60544395	1.8800648
1497	1497	1451663606037558031	0.39602837	1.6019592
1498	1498	1451663742041688997	0.17390567	-0.931534
1522	1522	1451664600233203018	0.28424272	-1.2634964
1532	1532	1451664838713296230	0.5010076	0.5912403
1538	1538	1451664941200797778	0.38086045	3.1341078
1544	1544	1451665089968216962	0.52048177	0.872511
1549	1549	1451665318345416558	0.08933208	1.76091
1571	1571	1451665732081322256	0.614399	-1.5902817
1574	1574	1451665794382490629	0.7658119	-3.0027113
1579	1579	1451665875542890239	0.5818827	0.022726791
1598	1598	1451666577681516359	0.30716646	-2.3888977
1600	1600	1451666693968686376	0.3837962	0.14994115
1602	1602	1451666760450076744	0.19101247	-1.7825528
1603	1603	1451666770730586783	0.4884328	0.6749003
1606	1606	1451666903308489535	0.3115926	-2.1905992
